id,name,name_with_owner,url,created_at,stars,crawled_at
1062554467,product-frotnend,MuhammedRefaatMetwally/product-frotnend,https://github.com/MuhammedRefaatMetwally/product-frotnend,2025-09-23 12:12:01,0,2025-09-23
1062554543,gdp-dashboard,JOSHUAsalifu22/gdp-dashboard,https://github.com/JOSHUAsalifu22/gdp-dashboard,2025-09-23 12:12:08,0,2025-09-23
1062554577,GradMate,gopalkrishnapc1234/GradMate,https://github.com/gopalkrishnapc1234/GradMate,2025-09-23 12:12:12,0,2025-09-23
1062554660,MernProject,Saranrks/MernProject,https://github.com/Saranrks/MernProject,2025-09-23 12:12:20,0,2025-09-23
1062554720,site-poupemaisfarmacia,xdanielzdelfino/site-poupemaisfarmacia,https://github.com/xdanielzdelfino/site-poupemaisfarmacia,2025-09-23 12:12:26,0,2025-09-23
1062554760,test,akylaikubanova21-cell/test,https://github.com/akylaikubanova21-cell/test,2025-09-23 12:12:31,0,2025-09-23
1062554773,js-recursion,mateusz3225/js-recursion,https://github.com/mateusz3225/js-recursion,2025-09-23 12:12:34,0,2025-09-23
1062554815,dev-meetup,AbhiBajpaishek/dev-meetup,https://github.com/AbhiBajpaishek/dev-meetup,2025-09-23 12:12:38,0,2025-09-23
1062554943,react-learning3,buildwithfavas/react-learning3,https://github.com/buildwithfavas/react-learning3,2025-09-23 12:12:52,0,2025-09-23
1062554996,AtividadePW,LavKeiller/AtividadePW,https://github.com/LavKeiller/AtividadePW,2025-09-23 12:12:58,0,2025-09-23
1062555032,swabfb55a0e7dae42df83e4fbdf799ed380,static-web-apps-testing-org/swabfb55a0e7dae42df83e4fbdf799ed380,https://github.com/static-web-apps-testing-org/swabfb55a0e7dae42df83e4fbdf799ed380,2025-09-23 12:13:01,0,2025-09-23
1062555113,portfolio-page-mayanktyagi022,acciojob/portfolio-page-mayanktyagi022,https://github.com/acciojob/portfolio-page-mayanktyagi022,2025-09-23 12:13:09,0,2025-09-23
1062555187,fill-in-the-blanks-with-placeholder-text-VenkataReddyPadala,acciojob/fill-in-the-blanks-with-placeholder-text-VenkataReddyPadala,https://github.com/acciojob/fill-in-the-blanks-with-placeholder-text-VenkataReddyPadala,2025-09-23 12:13:18,0,2025-09-23
1062555200,zmail,hhf666feng/zmail,https://github.com/hhf666feng/zmail,2025-09-23 12:13:19,0,2025-09-23
1062555204,nest-casinojs,nicksttar/nest-casinojs,https://github.com/nicksttar/nest-casinojs,2025-09-23 12:13:19,0,2025-09-23
1062555341,products-api,iamahless/products-api,https://github.com/iamahless/products-api,2025-09-23 12:13:33,0,2025-09-23
1062555342,swa4b4fbc7014504fe0821a6e15df94855c,static-web-apps-testing-org/swa4b4fbc7014504fe0821a6e15df94855c,https://github.com/static-web-apps-testing-org/swa4b4fbc7014504fe0821a6e15df94855c,2025-09-23 12:13:33,0,2025-09-23
